创世金融常惠私募基金,1,SW4285,应收账款质押,"100,000,000.00 ",6,7/28/2017,1/26/2018
创世金融通成私募基金,1,SW3492,应收账款质押,"433,200,000.00 ",12,7/28/2017,7/27/2018
创世金融鑫诚私募基金,7,SS9685,应收账款质押,"71,000,000.00 ",6,8/1/2017,2/1/2018
创世金融通荣私募基金,1,SW4115,应收账款质押,"127,000,000.00 ",12,8/1/2017,8/1/2018
创世金融鑫诚私募基金,8,SS9685,应收账款质押,"26,400,000.00 ",6,8/2/2017,2/2/2018
创世金融鑫诚私募基金,9,SS9685,应收账款质押,"12,000,000.00 ",6,8/4/2017,2/2/2018
创世金融通盛私募基金,1,SW4292,应收账款质押,"138,700,000.00 ",12,8/4/2017,8/3/2018
创世金融常兴私募基金,1,SW4286,应收账款质押,"130,000,000.00 ",6,8/10/2017,2/9/2018
创世金融通兴私募基金,1,SW4118,应收账款质押,"212,800,000.00 ",12,8/11/2017,8/10/2018
创世金融常荣私募基金,1,SW4289,应收账款质押,"145,000,000.00 ",6,8/18/2017,2/26/2018
创世金融常顺私募基金,1,SW4288,应收账款质押,"78,500,000.00 ",6,8/18/2017,2/26/2018
创世金融常享私募基金,1,SW4290,应收账款质押,"50,300,000.00 ",6,8/18/2017,2/26/2018
创世金融通赢私募基金,1,SW3493,应收账款质押,"168,800,000.00 ",12,8/18/2017,8/17/2018
创世金融通顺私募基金,1,SW3491,应收账款质押,"135,700,000.00 ",12,8/18/2017,8/17/2018
创世金融通鑫私募基金,1,SW4294,应收账款质押,"61,000,000.00 ",12,8/18/2017,8/17/2018
创世金融常利私募基金,1,SW4287,应收账款质押,"2,000,000.00 ",12,8/18/2017,8/17/2018
创世金融安享私募基金,1,SW8702,应收账款质押,"16,700,000.00 ",12,8/30/2017,8/30/2018
创世金融安赢私募基金,1,SW8703,应收账款质押,"296,700,000.00 ",12,9/5/2017,9/5/2018
创世金融安中私募基金,1,SX1304,应收账款质押,"177,300,000.00 ",6,9/8/2017,3/8/2018
创世金融安国私募基金,1,SX1777,应收账款质押,"158,500,000.00 ",6,9/8/2017,3/8/2018
创世金融安振私募基金,1,SX0347,应收账款质押,"296,000,000.00 ",12,9/8/2017,9/7/2018
创世金融安君私募基金,1,SX1308,应收账款质押,"41,200,000.00 ",12,9/8/2017,9/7/2018
创世金融安丰私募基金,1,SX1395,应收账款质押,"46,850,000.00 ",6,9/15/2017,3/15/2018
创世金融安亦私募基金,1,SX2487,应收账款质押,"11,000,000.00 ",6,9/15/2017,3/15/2018
创世金融安乐私募基金,1,SX1397,应收账款质押,"193,060,000.00 ",12,9/15/2017,9/14/2018
创世金融安臣私募基金,1,SX1309,应收账款质押,"100,000,000.00 ",12,9/15/2017,9/14/2018
创世金融安艇私募基金,1,SX2946,应收账款质押,"120,000,000.00 ",12,9/18/2017,9/18/2018
创世金融安亦私募基金,2,SX2487,应收账款质押,"104,800,000.00 ",6,9/20/2017,3/15/2018
创世金融安君私募基金,2,SX1308,应收账款质押,"89,000,000.00 ",12,9/20/2017,9/7/2018
创世金融安可私募基金,1,SX2488,应收账款质押,"34,950,000.00 ",6,9/21/2017,3/21/2018
创世金融安赛私募基金,1,SX2490,应收账款质押,"115,060,000.00 ",12,9/21/2017,9/21/2018
创世金融安泰私募基金,1,SX2175,应收账款质押,"100,000,000.00 ",6,9/28/2017,3/28/2018
创世金融安惠私募基金,1,SX4321,应收账款质押,"65,000,000.00 ",12,9/28/2017,9/28/2018
